,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[46, 54]","[55, 45]"
1,500 to 550,"[28, 72]","[59, 41]"
2,550 to 600,"[0, 100]","[22, 78]"
3,600 to 650,"[0, 100]","[47, 53]"
4,650 to 700,"[28, 72]","[80, 20]"
5,700 to 750,"[100, 0]","[71, 29]"
6,750 to 800,"[98, 2]","[45, 55]"
7,800 to 850,"[94, 6]","[17, 83]"
8,850 to 900,"[28, 72]","[5, 95]"
9,900 to 950,"[6, 94]","[0, 100]"
10,950 to 1000,"[0, 100]","[0, 100]"
