,Budget,Best total cost,Best total points,Sorted individual costs,Individual costs
0,500,500,1319,"[41, 43, 44, 44, 45, 46, 46, 47, 47, 48, 49]","[49, 46, 48, 47, 46, 45, 47, 44, 44, 43, 41]"
1,550,550,1580,"[44, 44, 45, 46, 46, 48, 49, 54, 57, 58, 59]","[58, 59, 57, 49, 54, 46, 48, 46, 45, 44, 44]"
2,600,600,1797,"[45, 46, 46, 48, 49, 57, 58, 58, 59, 67, 67]","[67, 67, 58, 59, 57, 58, 49, 46, 48, 46, 45]"
3,650,648,1950,"[46, 49, 54, 57, 58, 58, 59, 64, 67, 67, 69]","[67, 67, 58, 69, 64, 59, 57, 58, 49, 54, 46]"
4,700,698,2026,"[46, 49, 57, 58, 58, 59, 63, 64, 67, 67, 110]","[110, 67, 67, 58, 64, 63, 59, 57, 58, 49, 46]"
5,750,749,2097,"[46, 49, 57, 58, 59, 64, 67, 67, 69, 103, 110]","[110, 103, 67, 67, 58, 69, 64, 59, 57, 49, 46]"
6,800,797,2150,"[46, 49, 57, 58, 59, 64, 67, 67, 103, 110, 117]","[110, 117, 103, 67, 67, 58, 64, 59, 57, 49, 46]"
7,850,849,2218,"[57, 58, 59, 63, 64, 67, 67, 69, 103, 110, 132]","[132, 110, 103, 67, 67, 58, 69, 64, 63, 59, 57]"
8,900,897,2271,"[57, 58, 59, 63, 64, 67, 67, 103, 110, 117, 132]","[132, 110, 117, 103, 67, 67, 58, 64, 63, 59, 57]"
9,950,948,2307,"[58, 59, 63, 64, 67, 67, 103, 108, 110, 117, 132]","[132, 110, 117, 103, 67, 67, 108, 58, 64, 63, 59]"
10,1000,998,2319,"[57, 58, 59, 67, 67, 103, 108, 110, 117, 120, 132]","[132, 110, 117, 103, 67, 67, 108, 120, 58, 59, 57]"
