,formation,Linear mean cost,Linear mean points,n linear,Non linear cost,Non linear points,Non linear n,Div mean cost,Div mean points,n div,Non div cost,Non div points,Non div n,Both mean cost,Both mean points,n both,Non both cost,Non both points,Non both n
0,"[3, 4, 3]","{0.8: 608.0, 0.85: 601.0, 0.9: 596.0}","{0.8: 1361.0, 0.85: 1358.0, 0.9: 1361.0}","[1337599, 1045095, 737731]","{0.8: 626.0, 0.85: 628.0, 0.9: 625.0}","{0.8: 1354.0, 0.85: 1359.0, 0.9: 1357.0}","[721601, 1014105, 1321469]","{4: 606.0, 3: 594.0, 2: 588.0}","{4: 1375.0, 3: 1381.0, 2: 1398.0}","[1048706, 406353, 83467]","{4: 623.0, 3: 619.0, 2: 615.0}","{4: 1342.0, 3: 1353.0, 2: 1357.0}","[1010494, 1652847, 1975733]","{'0.8, 2': 603.0, '0.85, 3': 594.0, '0.9, 4': 588.0}","{'0.8, 2': 1370.0, '0.85, 3': 1380.0, '0.9, 4': 1398.0}","[965835, 401093, 83319]","{'0.8, 2': 624.0, '0.85, 3': 619.0, '0.9, 4': 615.0}","{'0.8, 2': 1349.0, '0.85, 3': 1353.0, '0.9, 4': 1357.0}","[1093365, 1658107, 1975881]"
1,"[3, 5, 2]","{0.8: 621.0, 0.85: 615.0, 0.9: 605.0}","{0.8: 1411.0, 0.85: 1406.0, 0.9: 1403.0}","[1001994, 752764, 506438]","{0.8: 605.0, 0.85: 616.0, 0.9: 621.0}","{0.8: 1330.0, 0.85: 1363.0, 0.9: 1376.0}","[473238, 722468, 968794]","{4: 621.0, 3: 608.0, 2: 598.0}","{4: 1437.0, 3: 1443.0, 2: 1454.0}","[760617, 260069, 49201]","{4: 610.0, 3: 617.0, 2: 616.0}","{4: 1330.0, 3: 1373.0, 2: 1383.0}","[714615, 1215163, 1426031]","{'0.8, 2': 618.0, '0.85, 3': 607.0, '0.9, 4': 598.0}","{'0.8, 2': 1431.0, '0.85, 3': 1441.0, '0.9, 4': 1454.0}","[687015, 255368, 49103]","{'0.8, 2': 614.0, '0.85, 3': 618.0, '0.9, 4': 616.0}","{'0.8, 2': 1345.0, '0.85, 3': 1373.0, '0.9, 4': 1383.0}","[788217, 1219864, 1426129]"
2,"[4, 3, 3]","{0.8: 586.0, 0.85: 582.0, 0.9: 579.0}","{0.8: 1320.0, 0.85: 1321.0, 0.9: 1332.0}","[1157114, 925081, 651861]","{0.8: 619.0, 0.85: 616.0, 0.9: 610.0}","{0.8: 1334.0, 0.85: 1330.0, 0.9: 1322.0}","[768238, 1000271, 1273491]","{4: 585.0, 3: 577.0, 2: 577.0}","{4: 1332.0, 3: 1345.0, 2: 1375.0}","[918710, 368553, 76018]","{4: 613.0, 3: 604.0, 2: 600.0}","{4: 1320.0, 3: 1321.0, 2: 1324.0}","[1006642, 1556799, 1849334]","{'0.8, 2': 582.0, '0.85, 3': 577.0, '0.9, 4': 577.0}","{'0.8, 2': 1327.0, '0.85, 3': 1344.0, '0.9, 4': 1375.0}","[856741, 363983, 75927]","{'0.8, 2': 613.0, '0.85, 3': 605.0, '0.9, 4': 600.0}","{'0.8, 2': 1325.0, '0.85, 3': 1322.0, '0.9, 4': 1324.0}","[1068611, 1561369, 1849425]"
3,"[4, 4, 2]","{0.8: 601.0, 0.85: 594.0, 0.9: 587.0}","{0.8: 1382.0, 0.85: 1379.0, 0.9: 1385.0}","[972446, 742383, 499384]","{0.8: 614.0, 0.85: 617.0, 0.9: 615.0}","{0.8: 1351.0, 0.85: 1362.0, 0.9: 1363.0}","[624754, 854817, 1097816]","{4: 600.0, 3: 589.0, 2: 586.0}","{4: 1404.0, 3: 1417.0, 2: 1444.0}","[742153, 267244, 51173]","{4: 611.0, 3: 609.0, 2: 607.0}","{4: 1340.0, 3: 1360.0, 2: 1367.0}","[855047, 1329956, 1546027]","{'0.8, 2': 597.0, '0.85, 3': 589.0, '0.9, 4': 586.0}","{'0.8, 2': 1399.0, '0.85, 3': 1416.0, '0.9, 4': 1444.0}","[674235, 263336, 51119]","{'0.8, 2': 613.0, '0.85, 3': 609.0, '0.9, 4': 607.0}","{'0.8, 2': 1349.0, '0.85, 3': 1361.0, '0.9, 4': 1367.0}","[922965, 1333864, 1546081]"
4,"[4, 5, 1]","{0.8: 610.0, 0.85: 601.0, 0.9: 589.0}","{0.8: 1419.0, 0.85: 1408.0, 0.9: 1409.0}","[602957, 437638, 281199]","{0.8: 596.0, 0.85: 609.0, 0.9: 612.0}","{0.8: 1351.0, 0.85: 1383.0, 0.9: 1389.0}","[319063, 484382, 640821]","{4: 613.0, 3: 599.0, 2: 590.0}","{4: 1463.0, 3: 1473.0, 2: 1481.0}","[439923, 143234, 26814]","{4: 599.0, 3: 606.0, 2: 606.0}","{4: 1333.0, 3: 1381.0, 2: 1393.0}","[482097, 778786, 895206]","{'0.8, 2': 608.0, '0.85, 3': 597.0, '0.9, 4': 590.0}","{'0.8, 2': 1454.0, '0.85, 3': 1469.0, '0.9, 4': 1482.0}","[388586, 139709, 26781]","{'0.8, 2': 603.0, '0.85, 3': 607.0, '0.9, 4': 606.0}","{'0.8, 2': 1352.0, '0.85, 3': 1382.0, '0.9, 4': 1393.0}","[533434, 782311, 895239]"
5,"[5, 3, 2]","{0.8: 577.0, 0.85: 572.0, 0.9: 572.0}","{0.8: 1336.0, 0.85: 1341.0, 0.9: 1370.0}","[725305, 568070, 390743]","{0.8: 608.0, 0.85: 605.0, 0.9: 599.0}","{0.8: 1325.0, 0.85: 1324.0, 0.9: 1315.0}","[607631, 764866, 942193]","{4: 578.0, 3: 573.0, 2: 575.0}","{4: 1360.0, 3: 1383.0, 2: 1422.0}","[574807, 220017, 44381]","{4: 601.0, 3: 594.0, 2: 592.0}","{4: 1309.0, 3: 1321.0, 2: 1328.0}","[758129, 1112919, 1288555]","{'0.8, 2': 575.0, '0.85, 3': 573.0, '0.9, 4': 576.0}","{'0.8, 2': 1356.0, '0.85, 3': 1383.0, '0.9, 4': 1422.0}","[531092, 217155, 44328]","{'0.8, 2': 601.0, '0.85, 3': 595.0, '0.9, 4': 592.0}","{'0.8, 2': 1315.0, '0.85, 3': 1321.0, '0.9, 4': 1328.0}","[801844, 1115781, 1288608]"
6,"[5, 4, 1]","{0.8: 586.0, 0.85: 576.0, 0.9: 575.0}","{0.8: 1382.0, 0.85: 1380.0, 0.9: 1410.0}","[498506, 373390, 250778]","{0.8: 607.0, 0.85: 609.0, 0.9: 603.0}","{0.8: 1364.0, 0.85: 1370.0, 0.9: 1360.0}","[392494, 517610, 640222]","{4: 590.0, 3: 582.0, 2: 582.0}","{4: 1428.0, 3: 1450.0, 2: 1481.0}","[377879, 131899, 24884]","{4: 599.0, 3: 598.0, 2: 596.0}","{4: 1334.0, 3: 1361.0, 2: 1371.0}","[513121, 759101, 866116]","{'0.8, 2': 585.0, '0.85, 3': 581.0, '0.9, 4': 582.0}","{'0.8, 2': 1418.0, '0.85, 3': 1448.0, '0.9, 4': 1481.0}","[336819, 129707, 24853]","{'0.8, 2': 601.0, '0.85, 3': 598.0, '0.9, 4': 596.0}","{'0.8, 2': 1347.0, '0.85, 3': 1361.0, '0.9, 4': 1371.0}","[554181, 761293, 866147]"
