Budget,Best total cost,Best total points,Individual costs,Id
500,500,1150,"[41, 42, 42, 43, 44, 44, 46, 46, 46, 47, 59]","[347, 493, 504, 340, 80, 427, 409, 192, 483, 145, 88]"
550,550,1459,"[43, 44, 46, 46, 46, 48, 50, 54, 56, 58, 59]","[85, 493, 504, 80, 42, 483, 145, 162, 484, 245, 88]"
600,600,1678,"[44, 46, 46, 46, 48, 50, 58, 59, 67, 67, 69]","[493, 437, 504, 80, 42, 145, 162, 245, 247, 246, 88]"
650,650,1859,"[49, 50, 54, 55, 58, 58, 59, 64, 67, 67, 69]","[493, 437, 42, 343, 40, 484, 245, 116, 247, 246, 154]"
700,699,1980,"[49, 54, 58, 63, 64, 65, 67, 67, 69, 69, 74]","[437, 43, 40, 150, 172, 484, 245, 268, 247, 246, 154]"
750,747,2060,"[54, 58, 59, 63, 64, 67, 67, 69, 69, 74, 103]","[437, 43, 40, 172, 251, 484, 245, 268, 247, 246, 468]"
800,799,2128,"[49, 58, 58, 63, 64, 67, 67, 69, 69, 103, 132]","[437, 43, 40, 251, 253, 245, 116, 268, 247, 246, 154]"
850,849,2187,"[54, 57, 58, 63, 67, 67, 69, 69, 103, 110, 132]","[437, 43, 251, 122, 253, 484, 245, 268, 247, 246, 260]"
900,894,2237,"[58, 58, 59, 63, 67, 67, 69, 103, 108, 110, 132]","[437, 23, 251, 122, 253, 245, 116, 268, 247, 246, 468]"
950,945,2257,"[58, 58, 59, 63, 67, 67, 103, 108, 110, 120, 132]","[23, 280, 251, 122, 253, 245, 116, 268, 247, 246, 468]"
1000,959,2260,"[58, 58, 59, 63, 67, 67, 108, 110, 117, 120, 132]","[23, 280, 122, 270, 253, 245, 116, 268, 247, 246, 468]"
