,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[70, 30]","[47, 53]"
1,500 to 550,"[22, 78]","[52, 48]"
2,550 to 600,"[0, 100]","[26, 74]"
3,600 to 650,"[0, 100]","[56, 44]"
4,650 to 700,"[12, 88]","[85, 15]"
5,700 to 750,"[100, 0]","[85, 15]"
6,750 to 800,"[96, 4]","[64, 36]"
7,800 to 850,"[94, 6]","[37, 63]"
8,850 to 900,"[28, 72]","[6, 94]"
9,900 to 950,"[16, 84]","[2, 98]"
10,950 to 1000,"[0, 100]","[0, 100]"
