,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[52, 24, 24]","[30, 64, 6]","[62, 18, 19]"
1,500 to 550,"[56, 24, 20]","[32, 34, 34]","[62, 20, 18]"
2,550 to 600,"[32, 62, 6]","[40, 26, 34]","[61, 22, 18]"
3,600 to 650,"[38, 28, 34]","[28, 36, 36]","[59, 23, 18]"
4,650 to 700,"[76, 18, 6]","[78, 18, 4]","[57, 28, 16]"
5,700 to 750,"[68, 26, 6]","[76, 18, 6]","[50, 35, 15]"
6,750 to 800,"[52, 28, 20]","[44, 44, 12]","[42, 44, 14]"
7,800 to 850,"[50, 26, 24]","[16, 78, 6]","[35, 49, 16]"
8,850 to 900,"[48, 28, 24]","[16, 80, 4]","[27, 57, 16]"
9,900 to 950,"[46, 32, 22]","[16, 76, 8]","[17, 73, 10]"
10,950 to 1000,"[36, 64, 0]","[18, 76, 6]","[18, 78, 5]"
