,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[64, 36]","[57, 43]"
1,500 to 550,"[18, 82]","[57, 43]"
2,550 to 600,"[0, 100]","[32, 68]"
3,600 to 650,"[0, 100]","[59, 41]"
4,650 to 700,"[20, 80]","[90, 10]"
5,700 to 750,"[100, 0]","[93, 7]"
6,750 to 800,"[98, 2]","[77, 23]"
7,800 to 850,"[98, 2]","[51, 49]"
8,850 to 900,"[24, 76]","[8, 92]"
9,900 to 950,"[4, 96]","[1, 99]"
10,950 to 1000,"[0, 100]","[0, 100]"
