Budget,Best total cost,Best total points,Individual costs,Id
500,500,1133,"[41, 43, 44, 44, 45, 46, 46, 46, 47, 48, 50]","[524, 347, 504, 340, 80, 42, 427, 483, 145, 162, 88]"
550,550,1444,"[44, 44, 46, 46, 46, 48, 49, 54, 56, 58, 59]","[85, 493, 504, 340, 80, 147, 145, 162, 484, 245, 88]"
600,600,1664,"[44, 46, 46, 49, 50, 54, 58, 58, 59, 67, 69]","[493, 437, 504, 80, 147, 42, 484, 245, 116, 247, 88]"
650,650,1842,"[46, 46, 54, 55, 58, 59, 64, 65, 67, 67, 69]","[493, 437, 80, 343, 40, 150, 484, 245, 247, 246, 88]"
700,700,1959,"[49, 55, 58, 63, 64, 65, 67, 67, 69, 69, 74]","[437, 43, 343, 40, 150, 172, 245, 268, 247, 246, 154]"
750,748,2053,"[49, 58, 63, 64, 65, 67, 67, 69, 69, 74, 103]","[437, 43, 40, 150, 172, 251, 245, 268, 247, 246, 154]"
800,798,2127,"[58, 58, 59, 64, 67, 67, 69, 69, 74, 103, 110]","[437, 43, 40, 172, 251, 122, 245, 116, 247, 246, 468]"
850,848,2195,"[46, 58, 63, 64, 67, 67, 69, 69, 103, 110, 132]","[437, 43, 40, 251, 122, 253, 245, 268, 247, 246, 88]"
900,900,2254,"[58, 59, 63, 64, 67, 67, 69, 103, 108, 110, 132]","[437, 23, 40, 251, 122, 253, 245, 268, 247, 246, 468]"
950,948,2294,"[58, 58, 59, 67, 67, 69, 103, 108, 110, 117, 132]","[437, 23, 251, 122, 270, 253, 245, 116, 247, 246, 468]"
1000,999,2314,"[58, 58, 59, 67, 67, 103, 108, 110, 117, 120, 132]","[23, 280, 251, 122, 270, 253, 245, 116, 247, 246, 468]"
