,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[52, 14, 34]","[62, 32, 6]","[70, 15, 15]"
1,500 to 550,"[84, 8, 8]","[80, 14, 6]","[69, 16, 15]"
2,550 to 600,"[64, 28, 8]","[82, 4, 14]","[66, 19, 15]"
3,600 to 650,"[34, 40, 26]","[68, 6, 26]","[62, 21, 17]"
4,650 to 700,"[68, 24, 8]","[94, 4, 2]","[60, 24, 16]"
5,700 to 750,"[64, 10, 26]","[64, 30, 6]","[56, 30, 14]"
6,750 to 800,"[60, 18, 22]","[20, 56, 24]","[47, 36, 16]"
7,800 to 850,"[70, 12, 18]","[20, 76, 4]","[36, 44, 20]"
8,850 to 900,"[52, 28, 20]","[14, 74, 12]","[25, 54, 21]"
9,900 to 950,"[44, 36, 20]","[22, 62, 16]","[23, 61, 16]"
10,950 to 1000,"[42, 55, 3]","[42, 55, 3]","[42, 55, 3]"
