,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[60, 8, 32]","[86, 14, 0]","[71, 14, 15]"
1,500 to 550,"[80, 8, 12]","[38, 58, 4]","[70, 16, 14]"
2,550 to 600,"[60, 36, 4]","[48, 10, 42]","[66, 19, 15]"
3,600 to 650,"[22, 52, 26]","[52, 14, 34]","[61, 23, 16]"
4,650 to 700,"[60, 36, 4]","[90, 10, 0]","[60, 25, 15]"
5,700 to 750,"[48, 40, 12]","[86, 10, 4]","[57, 29, 14]"
6,750 to 800,"[38, 34, 28]","[70, 24, 6]","[50, 35, 15]"
7,800 to 850,"[12, 48, 40]","[26, 60, 14]","[40, 41, 18]"
8,850 to 900,"[8, 36, 56]","[20, 74, 6]","[26, 52, 22]"
9,900 to 950,"[0, 36, 64]","[14, 82, 4]","[15, 64, 21]"
10,950 to 1000,"[0, 78, 22]","[20, 76, 4]","[10, 79, 12]"
