Budget,Best total cost,Best total points,Individual costs
500,500,1195,"[41, 43, 44, 44, 46, 46, 46, 47, 47, 47, 49]"
550,550,1484,"[43, 44, 46, 46, 48, 49, 50, 53, 54, 58, 59]"
600,600,1705,"[44, 46, 46, 46, 49, 54, 58, 59, 64, 67, 67]"
650,650,1861,"[49, 49, 50, 54, 58, 58, 64, 65, 67, 67, 69]"
700,698,1971,"[49, 58, 58, 63, 64, 64, 65, 67, 67, 69, 74]"
750,750,2065,"[54, 58, 59, 63, 64, 65, 67, 67, 69, 74, 110]"
800,792,2136,"[58, 58, 59, 63, 64, 67, 67, 69, 74, 103, 110]"
850,850,2213,"[58, 58, 59, 63, 64, 67, 67, 69, 103, 110, 132]"
900,899,2260,"[54, 58, 59, 63, 67, 67, 69, 103, 110, 117, 132]"
950,942,2290,"[58, 58, 59, 63, 67, 67, 103, 108, 110, 117, 132]"
1000,942,2290,"[58, 58, 59, 63, 67, 67, 103, 108, 110, 117, 132]"
