,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[76, 24]","[90, 10]"
1,500 to 550,"[76, 24]","[86, 14]"
2,550 to 600,"[22, 78]","[71, 29]"
3,600 to 650,"[40, 60]","[77, 23]"
4,650 to 700,"[78, 22]","[94, 6]"
5,700 to 750,"[100, 0]","[88, 12]"
6,750 to 800,"[100, 0]","[84, 16]"
7,800 to 850,"[94, 6]","[89, 11]"
8,850 to 900,"[92, 8]","[81, 19]"
9,900 to 950,"[76, 24]","[78, 22]"
10,950 to 1000,"[66, 34]","[62, 38]"
