,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[52, 24, 24]","[38, 52, 10]","[63, 18, 19]"
1,500 to 550,"[26, 56, 18]","[20, 34, 46]","[64, 16, 20]"
2,550 to 600,"[12, 68, 20]","[60, 38, 2]","[63, 19, 19]"
3,600 to 650,"[72, 2, 26]","[58, 40, 2]","[61, 21, 17]"
4,650 to 700,"[74, 12, 14]","[58, 38, 4]","[55, 29, 16]"
5,700 to 750,"[76, 12, 12]","[50, 48, 2]","[44, 40, 15]"
6,750 to 800,"[76, 12, 12]","[34, 54, 12]","[35, 52, 13]"
7,800 to 850,"[74, 14, 12]","[14, 82, 4]","[34, 56, 11]"
8,850 to 900,"[74, 20, 6]","[18, 74, 8]","[35, 55, 10]"
9,900 to 950,"[54, 40, 6]","[32, 60, 8]","[34, 58, 8]"
10,950 to 1000,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
