,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[58, 42]","[46, 54]"
1,500 to 550,"[28, 72]","[54, 46]"
2,550 to 600,"[0, 100]","[20, 80]"
3,600 to 650,"[0, 100]","[49, 51]"
4,650 to 700,"[12, 88]","[81, 19]"
5,700 to 750,"[100, 0]","[80, 20]"
6,750 to 800,"[98, 2]","[57, 43]"
7,800 to 850,"[90, 10]","[31, 69]"
8,850 to 900,"[22, 78]","[7, 93]"
9,900 to 950,"[10, 90]","[1, 99]"
10,950 to 1000,"[0, 100]","[0, 100]"
