,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[52, 32, 16]","[44, 54, 2]","[63, 21, 17]"
1,500 to 550,"[64, 20, 16]","[36, 36, 28]","[63, 18, 19]"
2,550 to 600,"[28, 66, 6]","[32, 24, 44]","[61, 21, 18]"
3,600 to 650,"[54, 16, 30]","[52, 28, 20]","[60, 23, 18]"
4,650 to 700,"[82, 10, 8]","[72, 24, 4]","[55, 29, 16]"
5,700 to 750,"[90, 2, 8]","[26, 64, 10]","[48, 37, 15]"
6,750 to 800,"[84, 4, 12]","[18, 74, 8]","[43, 41, 16]"
7,800 to 850,"[76, 14, 10]","[18, 82, 0]","[38, 46, 16]"
8,850 to 900,"[70, 22, 8]","[16, 72, 12]","[30, 56, 14]"
9,900 to 950,"[62, 34, 4]","[20, 72, 8]","[32, 61, 7]"
10,950 to 1000,"[86, 14, 0]","[86, 14, 0]","[86, 14, 0]"
