Budget,Best total cost,Best total points,Individual costs,Id
500,500,1066,"[41, 42, 43, 44, 44, 45, 46, 46, 46, 47, 56]","[524, 347, 85, 504, 340, 80, 459, 427, 409, 483, 88]"
550,550,1387,"[41, 44, 44, 46, 46, 46, 49, 56, 58, 59, 61]","[85, 493, 326, 504, 340, 80, 147, 427, 145, 245, 88]"
600,600,1622,"[44, 46, 49, 49, 49, 54, 56, 58, 59, 67, 69]","[85, 493, 437, 504, 80, 147, 126, 484, 245, 247, 154]"
650,650,1809,"[44, 49, 49, 55, 58, 59, 64, 67, 67, 69, 69]","[493, 437, 43, 504, 147, 343, 40, 245, 247, 246, 154]"
700,696,1930,"[49, 55, 58, 59, 64, 65, 67, 67, 69, 69, 74]","[493, 437, 43, 343, 40, 150, 172, 245, 247, 246, 154]"
750,744,2024,"[49, 58, 59, 64, 65, 67, 67, 69, 69, 74, 103]","[493, 437, 43, 40, 150, 172, 251, 245, 247, 246, 154]"
800,799,2111,"[58, 59, 59, 64, 67, 67, 69, 69, 74, 103, 110]","[493, 437, 43, 40, 172, 251, 122, 245, 247, 246, 468]"
850,847,2173,"[49, 58, 59, 64, 67, 67, 69, 69, 103, 110, 132]","[493, 437, 43, 40, 251, 122, 253, 245, 247, 246, 154]"
900,896,2230,"[49, 58, 64, 67, 67, 69, 69, 103, 108, 110, 132]","[437, 43, 23, 40, 251, 122, 253, 245, 247, 246, 154]"
950,949,2283,"[49, 58, 67, 67, 69, 69, 103, 108, 110, 117, 132]","[437, 43, 23, 251, 122, 270, 253, 245, 247, 246, 154]"
1000,1000,2316,"[49, 58, 67, 67, 69, 103, 108, 110, 117, 120, 132]","[437, 23, 280, 251, 122, 270, 253, 245, 247, 246, 154]"
