,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[84, 16]","[82, 18]"
1,500 to 550,"[54, 46]","[80, 20]"
2,550 to 600,"[20, 80]","[70, 30]"
3,600 to 650,"[14, 86]","[79, 21]"
4,650 to 700,"[60, 40]","[96, 4]"
5,700 to 750,"[100, 0]","[96, 4]"
6,750 to 800,"[98, 2]","[93, 7]"
7,800 to 850,"[100, 0]","[86, 14]"
8,850 to 900,"[100, 0]","[77, 23]"
9,900 to 950,"[92, 8]","[65, 35]"
10,950 to 1000,"[85, 15]","[85, 15]"
