,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[84, 16]","[88, 12]"
1,500 to 550,"[62, 38]","[85, 15]"
2,550 to 600,"[34, 66]","[72, 28]"
3,600 to 650,"[34, 66]","[78, 22]"
4,650 to 700,"[80, 20]","[95, 5]"
5,700 to 750,"[100, 0]","[95, 5]"
6,750 to 800,"[100, 0]","[91, 9]"
7,800 to 850,"[98, 2]","[88, 12]"
8,850 to 900,"[100, 0]","[85, 15]"
9,900 to 950,"[90, 10]","[69, 31]"
10,950 to 1000,"[84, 16]","[59, 41]"
