,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[24, 76]","[56, 44]"
1,500 to 550,"[28, 72]","[59, 41]"
2,550 to 600,"[0, 100]","[25, 75]"
3,600 to 650,"[0, 100]","[54, 46]"
4,650 to 700,"[26, 74]","[86, 14]"
5,700 to 750,"[100, 0]","[76, 24]"
6,750 to 800,"[90, 10]","[49, 51]"
7,800 to 850,"[94, 6]","[18, 82]"
8,850 to 900,"[22, 78]","[5, 95]"
9,900 to 950,"[6, 94]","[1, 99]"
10,950 to 1000,"[0, 100]","[0, 100]"
