total_points,now_cost,indexes
975,342,"[5481, 5203, 1048, 3040, 2234]"
979,343,"[5271, 5203, 1048, 3040, 2234]"
983,346,"[5271, 2070, 1048, 3040, 2234]"
986,347,"[5203, 2070, 1048, 3040, 2234]"
988,353,"[5203, 1048, 3040, 3150, 2234]"
992,356,"[2070, 1048, 3040, 3150, 2234]"
994,358,"[1416, 5481, 1048, 2247, 2234]"
998,359,"[1416, 5271, 1048, 2247, 2234]"
1001,360,"[1416, 5203, 1048, 2247, 2234]"
1004,362,"[1416, 5203, 3040, 2247, 2234]"
1005,363,"[1416, 2070, 1048, 2247, 2234]"
1010,365,"[5449, 5481, 1048, 2247, 2234]"
1014,366,"[5449, 5271, 1048, 2247, 2234]"
1017,367,"[5449, 5203, 1048, 2247, 2234]"
1022,368,"[1416, 1048, 3040, 2247, 2234]"
1023,369,"[5481, 5203, 1048, 2247, 2234]"
1027,370,"[5271, 5203, 1048, 2247, 2234]"
1030,372,"[5271, 5203, 3040, 2247, 2234]"
1031,373,"[5271, 2070, 1048, 2247, 2234]"
1034,374,"[5203, 2070, 1048, 2247, 2234]"
1038,375,"[5449, 1048, 3040, 2247, 2234]"
1044,377,"[5481, 1048, 3040, 2247, 2234]"
1048,378,"[5271, 1048, 3040, 2247, 2234]"
1051,379,"[5203, 1048, 3040, 2247, 2234]"
1055,382,"[2070, 1048, 3040, 2247, 2234]"
1057,388,"[1048, 3040, 3150, 2247, 2234]"
1060,390,"[5449, 1048, 3040, 2234, 4215]"
1066,392,"[5481, 1048, 3040, 2234, 4215]"
1070,393,"[5271, 1048, 3040, 2234, 4215]"
1073,394,"[5203, 1048, 3040, 2234, 4215]"
1077,397,"[2070, 1048, 3040, 2234, 4215]"
1082,402,"[5449, 1048, 2247, 1398, 2234]"
1085,403,"[5271, 1048, 1394, 2247, 2234]"
1088,404,"[5481, 1048, 2247, 1398, 2234]"
1092,405,"[5271, 1048, 2247, 1398, 2234]"
1095,406,"[5203, 1048, 2247, 1398, 2234]"
1098,408,"[5203, 3040, 2247, 1398, 2234]"
1099,409,"[2070, 1048, 2247, 1398, 2234]"
1102,411,"[2070, 3040, 2247, 1398, 2234]"
1109,412,"[1048, 3040, 1394, 2247, 2234]"
1116,414,"[1048, 3040, 2247, 1398, 2234]"
1119,419,"[1048, 3040, 2247, 5390, 2234]"
1121,421,"[5203, 1048, 2247, 2234, 4215]"
