total_points,now_cost,indexes
86,194,"[57, 145, 494, 293, 61]"
117,195,"[57, 145, 494, 293, 144]"
158,196,"[57, 145, 494, 293, 220]"
186,197,"[57, 145, 494, 144, 220]"
207,198,"[57, 145, 494, 220, 405]"
226,199,"[57, 145, 494, 220, 444]"
244,200,"[57, 145, 220, 405, 80]"
264,201,"[57, 145, 220, 405, 444]"
283,202,"[145, 494, 220, 405, 444]"
300,203,"[145, 144, 220, 405, 444]"
320,204,"[145, 220, 405, 80, 444]"
331,205,"[145, 220, 405, 444, 446]"
342,206,"[145, 220, 405, 80, 117]"
362,207,"[145, 220, 405, 444, 117]"
372,208,"[145, 220, 444, 446, 117]"
380,209,"[145, 220, 444, 446, 171]"
393,210,"[145, 220, 444, 117, 76]"
411,211,"[145, 220, 444, 117, 171]"
418,212,"[145, 220, 444, 117, 468]"
426,213,"[145, 220, 444, 171, 468]"
431,214,"[145, 220, 117, 171, 55]"
448,215,"[145, 220, 117, 171, 468]"
450,216,"[220, 444, 117, 76, 171]"
458,217,"[220, 444, 117, 171, 55]"
475,218,"[220, 444, 117, 171, 468]"
487,220,"[220, 117, 76, 171, 468]"
495,221,"[220, 117, 171, 55, 468]"
500,222,"[220, 117, 171, 468, 164]"
506,224,"[117, 76, 171, 55, 468]"
516,225,"[220, 117, 171, 468, 443]"
519,226,"[117, 171, 55, 468, 164]"
523,227,"[117, 171, 468, 164, 79]"
527,228,"[117, 76, 171, 468, 443]"
535,229,"[117, 171, 55, 468, 443]"
540,230,"[117, 171, 468, 164, 443]"
542,232,"[171, 468, 164, 79, 443]"
554,233,"[117, 171, 468, 443, 290]"
557,235,"[171, 468, 164, 443, 290]"
560,238,"[117, 171, 55, 468, 381]"
566,239,"[171, 468, 443, 290, 475]"
567,240,"[171, 468, 443, 290, 357]"
568,241,"[117, 171, 468, 443, 10]"
581,242,"[117, 171, 468, 443, 381]"
584,244,"[171, 468, 164, 443, 381]"
590,246,"[117, 468, 443, 290, 381]"
598,247,"[171, 468, 443, 290, 381]"
603,252,"[117, 468, 443, 290, 245]"
613,253,"[117, 171, 468, 443, 97]"
616,255,"[171, 468, 164, 443, 97]"
622,257,"[117, 468, 443, 290, 97]"
630,258,"[171, 468, 443, 290, 97]"
638,262,"[117, 171, 468, 381, 97]"
641,264,"[171, 468, 164, 381, 97]"
642,265,"[117, 171, 443, 381, 97]"
649,266,"[117, 468, 443, 381, 97]"
657,267,"[171, 468, 443, 381, 97]"
659,270,"[171, 443, 290, 381, 97]"
666,271,"[468, 443, 290, 381, 97]"
670,273,"[171, 468, 443, 245, 97]"
672,276,"[171, 443, 290, 245, 97]"
679,277,"[468, 443, 290, 245, 97]"
680,279,"[468, 443, 10, 381, 97]"
687,281,"[117, 468, 381, 245, 97]"
695,282,"[171, 468, 381, 245, 97]"
699,285,"[171, 443, 381, 245, 97]"
706,286,"[468, 443, 381, 245, 97]"
708,289,"[443, 290, 381, 245, 97]"
715,293,"[468, 443, 381, 97, 100]"
718,294,"[468, 10, 381, 245, 97]"
720,296,"[468, 381, 7, 245, 97]"
722,297,"[443, 10, 381, 245, 97]"
726,298,"[468, 381, 380, 245, 97]"
728,299,"[468, 443, 245, 97, 100]"
730,301,"[443, 381, 380, 245, 97]"
731,304,"[443, 10, 381, 97, 100]"
735,305,"[468, 381, 380, 97, 100]"
738,306,"[117, 381, 245, 97, 100]"
746,307,"[171, 381, 245, 97, 100]"
753,308,"[468, 381, 245, 97, 100]"
757,311,"[443, 381, 245, 97, 100]"
769,319,"[10, 381, 245, 97, 100]"
771,321,"[381, 7, 245, 97, 100]"
777,323,"[381, 380, 245, 97, 100]"
785,331,"[381, 245, 97, 267, 100]"
