first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Simen,Wangberg,3,0,73,1901,38,4,0,4,6.2,44,DEF
Magnus,Andersen,0,0,7,45,1,0,0,0,0.0,43,DEF
Isak,Helstad Amundsen,1,0,49,1764,35,3,0,3,0.9,45,DEF
Casper,Øyvann,0,0,43,800,9,5,0,1,5.8,40,DEF
Eric,Kitolano,4,7,112,2369,37,8,0,3,3.7,74,MID
Mikael,Ingebrigtsen,0,0,6,64,2,0,0,0,0.3,62,MID
Kent-Are,Antonsen,1,0,34,1224,24,2,0,2,0.1,57,MID
Daniel,Berntsen,0,0,32,998,25,3,0,2,0.3,56,MID
Ruben,Yttergård Jenssen,0,3,82,2610,43,8,0,3,2.0,47,MID
Tomas,Stabell,0,0,0,0,0,0,0,0,0.4,43,MID
August,Mikkelsen,8,2,122,2278,33,7,0,2,20.6,54,MID
Runar,Espejord,0,5,39,814,9,3,0,0,1.3,72,FWD
Moses,Ebiye,8,3,86,1584,28,6,0,0,18.7,54,FWD
Tobias,Hafstad,0,0,1,5,0,0,0,0,2.6,45,FWD
Kristoffer,Klaesson,0,1,39,1260,20,2,0,1,11.3,54,GK
Christian Kjetil,Haug,0,0,50,1223,15,3,0,0,1.8,49,GK
Christian,Borchgrevink,3,6,96,2022,28,4,0,5,26.5,59,DEF
Felix Horn,Myhre,0,0,28,1622,32,0,0,1,1.7,54,DEF
Ivan,Näsberg,0,0,55,2187,30,4,0,2,7.3,53,DEF
Sam,Adekugbe,0,0,26,1080,15,2,0,2,3.3,54,DEF
Jonatan,Tollås Nation,3,1,98,2475,30,6,0,4,15.7,58,DEF
Brage,Skaret,0,0,13,499,8,1,0,1,0.2,43,DEF
Fredrik,Holmé,0,0,1,12,0,0,0,0,0.5,39,DEF
Amin,Nouri,0,0,0,0,0,0,0,0,1.0,39,DEF
Oskar,Opsahl,0,0,0,0,0,0,0,0,0.4,39,DEF
Amor,Layouni,3,6,95,2131,26,9,0,4,2.0,102,MID
Aron,Dønnum,6,3,64,762,14,1,0,2,12.3,100,MID
Henrik Rørvik,Bjørdal,4,5,121,2655,36,7,0,3,2.6,83,MID
Osame,Sahraoui,2,7,109,2184,28,7,0,2,6.2,81,MID
Tobias,Christensen,3,2,82,2126,31,4,0,3,3.2,68,MID
Odin,Thiago Holm,3,1,45,836,9,2,0,2,0.4,54,MID
Seedy,Jatta,2,0,38,755,16,1,0,0,0.2,47,MID
Fredrik,Oldrup Jensen,2,2,81,2696,37,6,0,0,1.6,50,MID
Sakarias,Opsahl,0,2,51,1205,15,5,0,2,0.1,48,MID
Vidar,Kjartansson,5,1,57,1304,16,6,0,0,8.6,112,FWD
Henrik,Udahl,6,4,76,1144,16,3,0,0,3.8,81,FWD
Sosha,Makani,0,0,69,1980,39,3,0,0,6.4,49,GK
Gard,Thomas,0,0,0,0,0,0,0,0,1.4,40,GK
Idar Nordby,Lysgård,0,0,26,720,13,1,0,0,2.6,41,GK
Markus,Nakkim,3,0,79,2610,50,4,0,4,7.3,50,DEF
Sondre,Solholm Johansen,1,1,53,1440,21,3,0,1,2.0,51,DEF
Joachim,Olsen Solberg,0,2,36,1182,27,1,0,4,0.7,43,DEF
William,Sell,0,0,11,615,13,0,0,3,0.0,45,DEF
Nikolas,Walstad,2,3,75,2256,41,3,0,4,3.1,44,DEF
Syver Skaar,Eriksen,2,1,45,1013,22,3,0,3,1.0,41,DEF
Adrian Aleksander,Hansen,0,0,5,273,7,0,0,1,0.9,40,DEF
Fredrik,Brustad,2,2,55,1287,28,3,0,1,0.4,58,MID
Lars,Olden Larsen,8,3,108,2062,39,4,0,2,1.6,59,MID
Tonny,Brochmann,1,1,21,420,3,2,0,1,0.7,60,MID
Ole Amund,Sveen,1,0,49,1618,31,4,0,3,0.1,52,MID
Alfred,Schriven,0,0,5,24,0,0,0,0,0.0,54,MID
Christian,Gauseth,0,2,40,1229,22,4,0,3,0.7,49,MID
Stian Semb,Aasmundsen,0,1,37,1401,25,3,0,6,0.2,49,MID
Frank,Bamenye,0,0,1,9,0,0,0,0,0.0,49,MID
Erik,Stavas Skistad,0,0,19,676,18,1,0,1,0.1,49,MID
Martin,Ovenstad,3,5,90,1979,31,8,0,3,3.4,46,MID
Magnus,Bækken,0,0,4,45,2,0,0,0,0.0,48,MID
Isaac,Twum,1,0,47,1758,35,2,0,4,0.5,44,MID
Benjamin,Stokke,4,4,75,1680,25,6,0,1,2.0,64,FWD
Ibrahim,Shuaibu,1,0,10,103,0,0,0,0,1.2,57,FWD
Jacob,Storevik,0,1,108,2700,52,7,0,0,10.6,50,GK
Frederik,Due,0,0,0,0,0,0,0,0,0.2,44,GK
Jesper,Granlund,0,0,0,0,0,0,0,0,0.3,40,GK
Marc,Vales González,1,0,35,1078,24,2,0,5,1.4,48,DEF
