total_points,now_cost,indexes
71,116,"[57, 145, 494]"
60,116,"[57, 145, 293]"
30,116,"[57, 494, 293]"
88,117,"[57, 145, 144]"
84,117,"[57, 145, 334]"
79,117,"[145, 494, 293]"
129,118,"[57, 145, 220]"
109,118,"[57, 145, 405]"
108,118,"[57, 145, 80]"
148,119,"[145, 494, 220]"
137,119,"[145, 293, 220]"
165,120,"[145, 144, 220]"
161,120,"[145, 334, 220]"
186,121,"[145, 220, 405]"
185,121,"[145, 220, 80]"
205,122,"[145, 220, 444]"
196,122,"[145, 220, 446]"
195,123,"[145, 444, 446]"
227,124,"[145, 220, 117]"
217,124,"[145, 220, 76]"
213,124,"[220, 405, 444]"
235,125,"[145, 220, 171]"
226,125,"[145, 444, 117]"
242,126,"[145, 220, 468]"
235,126,"[220, 405, 117]"
254,127,"[220, 444, 117]"
245,127,"[220, 446, 117]"
244,127,"[220, 444, 76]"
262,128,"[220, 444, 171]"
256,128,"[145, 117, 171]"
269,129,"[220, 444, 468]"
266,129,"[220, 117, 76]"
263,129,"[145, 117, 468]"
284,130,"[220, 117, 171]"
274,130,"[220, 117, 55]"
274,130,"[220, 76, 171]"
291,131,"[220, 117, 468]"
283,131,"[444, 117, 171]"
299,132,"[220, 171, 468]"
290,132,"[444, 117, 468]"
298,133,"[444, 171, 468]"
295,133,"[117, 76, 171]"
303,134,"[117, 171, 55]"
302,134,"[117, 76, 468]"
320,135,"[117, 171, 468]"
310,135,"[117, 55, 468]"
310,135,"[76, 171, 468]"
318,136,"[171, 55, 468]"
315,136,"[117, 468, 164]"
323,137,"[171, 468, 164]"
324,138,"[117, 171, 443]"
322,138,"[117, 171, 290]"
331,139,"[117, 468, 443]"
329,139,"[117, 468, 290]"
339,140,"[171, 468, 443]"
337,140,"[171, 468, 290]"
334,141,"[468, 164, 443]"
341,143,"[171, 443, 290]"
348,144,"[468, 443, 290]"
349,147,"[117, 171, 381]"
343,147,"[117, 468, 10]"
356,148,"[117, 468, 381]"
351,148,"[171, 468, 10]"
364,149,"[171, 468, 381]"
354,149,"[55, 468, 381]"
359,150,"[468, 164, 381]"
360,151,"[117, 443, 381]"
368,152,"[171, 443, 381]"
366,152,"[171, 290, 381]"
375,153,"[468, 443, 381]"
373,153,"[468, 290, 381]"
369,154,"[117, 468, 245]"
377,155,"[171, 468, 245]"
377,156,"[443, 290, 381]"
381,158,"[117, 171, 97]"
381,158,"[171, 443, 245]"
379,158,"[171, 290, 245]"
388,159,"[117, 468, 97]"
388,159,"[468, 443, 245]"
386,159,"[468, 290, 245]"
396,160,"[171, 468, 97]"
391,161,"[468, 164, 97]"
392,162,"[117, 443, 97]"
400,163,"[171, 443, 97]"
398,163,"[171, 290, 97]"
407,164,"[468, 443, 97]"
405,164,"[468, 290, 97]"
409,167,"[443, 290, 97]"
406,167,"[171, 381, 245]"
413,168,"[468, 381, 245]"
417,171,"[117, 381, 97]"
417,171,"[443, 381, 245]"
415,171,"[290, 381, 245]"
425,172,"[171, 381, 97]"
419,172,"[468, 10, 97]"
432,173,"[468, 381, 97]"
420,173,"[164, 381, 97]"
421,174,"[468, 7, 97]"
423,175,"[443, 10, 97]"
436,176,"[443, 381, 97]"
434,176,"[290, 381, 97]"
438,178,"[171, 245, 97]"
445,179,"[468, 245, 97]"
449,182,"[443, 245, 97]"
447,182,"[290, 245, 97]"
448,184,"[10, 381, 97]"
454,186,"[468, 97, 100]"
450,186,"[381, 7, 97]"
456,188,"[381, 380, 97]"
458,189,"[443, 97, 100]"
456,189,"[290, 97, 100]"
461,190,"[10, 245, 97]"
474,191,"[381, 245, 97]"
463,192,"[7, 245, 97]"
464,193,"[381, 245, 100]"
469,194,"[380, 245, 97]"
470,197,"[10, 97, 100]"
483,198,"[381, 97, 100]"
472,199,"[7, 97, 100]"
478,201,"[380, 97, 100]"
477,202,"[245, 97, 267]"
496,204,"[245, 97, 100]"
486,209,"[97, 267, 100]"
