first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Elias,Olsson,0,0,12,222,3,1,0,1,2.2,39,DEF
Rasmus,Sjöstedt,1,0,90,1884,26,7,0,2,1.2,49,DEF
Lukas,Rhöse,0,0,3,26,1,0,0,0,0.3,38,DEF
Viktor,Krüger,0,0,0,0,0,0,0,0,0.4,38,DEF
Isak,Magnusson,0,1,12,157,1,2,0,0,0.4,50,MID
Filip,Sachpekidis,0,2,39,939,10,5,0,2,0.2,52,MID
Erik,Israelsson,1,0,15,131,5,0,0,1,0.5,56,MID
Victor,Backman,0,0,12,199,4,0,0,2,0.1,43,MID
Carl,Gustafsson,0,1,93,2506,36,8,0,2,3.4,46,MID
Johan,Arvidsson,0,0,1,17,1,0,0,0,0.0,44,MID
Romario,Pereira Sipião,4,1,119,2564,36,9,0,4,2.5,63,MID
Isak,Jansson,6,3,77,1195,17,4,0,2,0.2,55,MID
Oliver,Berg,12,5,167,2597,38,8,0,1,30.7,74,MID
Noah,Shamoun,0,0,29,645,7,4,0,1,0.3,43,MID
Jonathan,Ring,8,11,147,2312,37,7,0,3,4.7,77,MID
Edvin,Crona,0,0,0,0,0,0,0,0,1.1,47,FWD
Nils,Fröling,4,4,85,1724,22,12,0,1,3.2,57,FWD
Alex,Mortensen,0,0,0,0,0,0,0,0,1.0,38,FWD
Lars,Sætra,0,1,104,2506,33,9,0,3,1.9,51,DEF
Isak,Vidjeskog,0,0,1,2,0,0,0,0,0.0,45,MID
David,Chan,0,0,0,0,0,0,0,0,0.0,50,FWD
Arton,Podrimcaku,0,0,0,0,0,0,0,0,0.0,45,MID
Moustafa,Benshi,0,0,1,5,0,0,0,0,0.0,44,FWD
Casper,Andersson,0,0,0,0,0,0,0,0,0.0,40,GK
Olle,Lindh,0,0,1,3,0,0,0,0,0.0,45,MID
Sixten,Mohlin,0,0,24,611,15,0,0,0,0.4,45,GK
Aly,Keita,0,0,103,2088,44,3,0,3,4.9,59,GK
Kalpi,Ouattara,0,0,-1,19,1,0,0,0,0.1,48,DEF
Marco,Weymans,1,1,23,687,19,1,0,4,0.1,42,DEF
Noah,Sonko Sundberg,1,2,81,2143,43,3,0,5,4.2,54,DEF
Sam,Mensiro,0,0,49,1659,41,1,1,4,0.3,44,MID
Ronald,Mukiibi,2,0,39,575,7,2,0,0,3.9,48,DEF
Eirik,Haugan,0,0,80,2548,54,3,0,5,1.6,46,DEF
Rewan,Amin,0,0,0,0,0,0,0,0,0.1,53,MID
Isak,Ssewankambo,0,2,49,1434,24,2,0,3,4.0,47,MID
Ludvig,Fritzson,1,1,51,1874,41,2,0,6,0.3,49,MID
Henrik,Bellman,0,2,50,1443,35,3,0,3,0.7,43,MID
Jerell,Sellars,0,0,22,593,15,2,0,1,0.1,46,MID
Simon,Kroon,1,2,29,604,14,1,0,1,0.3,57,MID
Charlie,Colkett,0,0,28,929,25,1,0,2,0.1,48,MID
Nebiyou,Perry,0,1,18,452,8,0,0,0,0.3,51,MID
Felix,Hörberg,1,4,100,2133,42,3,0,4,1.4,54,MID
Sebastian,Karlsson Grach,1,0,31,795,23,0,0,1,0.1,44,MID
Malcolm,Stolt,1,2,36,910,23,2,1,3,0.1,48,MID
Frank,Arhin,0,0,35,1068,19,4,1,2,0.0,46,MID
Nikolaos,Dosis,0,0,47,1535,42,1,0,3,0.1,43,MID
Ahmed,Awad,1,1,17,125,5,0,0,0,0.5,49,FWD
Francis,Jno-Baptiste,2,1,33,620,9,2,0,1,1.0,47,FWD
Blair,Turgott,10,1,100,2147,45,3,0,4,6.7,64,FWD
Patrick,Kpozo,2,2,108,2541,55,3,1,2,11.9,49,MID
Jakob,Gustavsson,0,0,0,0,0,0,0,0,0.0,45,MID
Andrew,Mills,0,0,0,0,0,0,0,0,0.0,40,GK
Budimir,Janosevic,0,0,76,1440,14,6,0,2,3.8,57,GK
Kyriakos,Stamatopoulos,0,0,0,0,0,0,0,0,2.2,39,GK
Jakob,Haugaard,0,0,0,0,0,0,0,0,1.7,53,GK
Felix,Michel,0,0,0,0,0,0,0,0,0.1,47,DEF
