,indexes,now_cost,total_points
0,190,39,9
1,179,40,15
2,25,41,46
3,490,42,69
4,137,43,81
5,47,44,104
6,454,45,118
7,88,46,154
8,154,49,161
9,260,57,169
10,468,59,176
