total_points,now_cost,indexes
396,207,"[813, 819, 561]"
298,205,"[813, 819, 798]"
273,203,"[813, 798, 797]"
247,201,"[813, 798, 775]"
244,200,"[813, 798, 766]"
227,199,"[798, 797, 775]"
224,198,"[798, 797, 766]"
205,197,"[798, 775, 767]"
198,196,"[798, 775, 766]"
197,195,"[798, 766, 764]"
184,194,"[775, 767, 766]"
179,193,"[775, 766, 764]"
174,191,"[775, 767, 731]"
167,190,"[775, 766, 731]"
166,189,"[798, 797, 80]"
163,188,"[798, 775, 76]"
140,187,"[798, 775, 80]"
137,186,"[798, 766, 80]"
126,185,"[775, 767, 80]"
119,184,"[775, 766, 80]"
118,183,"[766, 764, 80]"
109,181,"[775, 731, 80]"
106,180,"[766, 731, 80]"
102,178,"[798, 76, 80]"
79,176,"[798, 80, 225]"
61,174,"[775, 80, 225]"
58,173,"[766, 80, 225]"
48,170,"[731, 80, 225]"
23,165,"[76, 80, 225]"
15,162,"[80, 225, 79]"
2,159,"[80, 225, 652]"
0,157,"[80, 225, 195]"
