cost,points_total,indexes
1087,1022,"[388, 268, 254, 272, 251, 4, 302, 259, 255, 155, 278]"
1086,1002,"[388, 268, 254, 272, 251, 4, 302, 259, 255, 155, 252]"
1080,990,"[388, 268, 254, 272, 251, 4, 302, 259, 255, 155, 217]"
1079,953,"[388, 268, 254, 272, 251, 4, 302, 259, 255, 155, 291]"
1078,906,"[388, 268, 254, 272, 251, 4, 302, 259, 255, 155, 305]"
1075,862,"[388, 268, 254, 272, 251, 4, 302, 259, 255, 155, 289]"
1085,989,"[388, 268, 254, 272, 251, 4, 302, 259, 255, 280, 278]"
1084,969,"[388, 268, 254, 272, 251, 4, 302, 259, 255, 280, 252]"
1078,957,"[388, 268, 254, 272, 251, 4, 302, 259, 255, 280, 217]"
1077,920,"[388, 268, 254, 272, 251, 4, 302, 259, 255, 280, 291]"
1076,873,"[388, 268, 254, 272, 251, 4, 302, 259, 255, 280, 305]"
1073,829,"[388, 268, 254, 272, 251, 4, 302, 259, 255, 280, 289]"
1084,914,"[388, 268, 254, 272, 251, 4, 302, 259, 255, 226, 278]"
1083,894,"[388, 268, 254, 272, 251, 4, 302, 259, 255, 226, 252]"
1077,882,"[388, 268, 254, 272, 251, 4, 302, 259, 255, 226, 217]"
1076,845,"[388, 268, 254, 272, 251, 4, 302, 259, 255, 226, 291]"
1075,798,"[388, 268, 254, 272, 251, 4, 302, 259, 255, 226, 305]"
1072,754,"[388, 268, 254, 272, 251, 4, 302, 259, 255, 226, 289]"
1079,895,"[388, 268, 254, 272, 251, 4, 302, 259, 255, 462, 278]"
1078,875,"[388, 268, 254, 272, 251, 4, 302, 259, 255, 462, 252]"
1072,863,"[388, 268, 254, 272, 251, 4, 302, 259, 255, 462, 217]"
1071,826,"[388, 268, 254, 272, 251, 4, 302, 259, 255, 462, 291]"
1070,779,"[388, 268, 254, 272, 251, 4, 302, 259, 255, 462, 305]"
1067,735,"[388, 268, 254, 272, 251, 4, 302, 259, 255, 462, 289]"
1056,888,"[388, 268, 254, 272, 251, 4, 302, 259, 462, 7, 278]"
1055,868,"[388, 268, 254, 272, 251, 4, 302, 259, 462, 7, 252]"
1049,856,"[388, 268, 254, 272, 251, 4, 302, 259, 462, 7, 217]"
1048,819,"[388, 268, 254, 272, 251, 4, 302, 259, 462, 7, 291]"
1047,772,"[388, 268, 254, 272, 251, 4, 302, 259, 462, 7, 305]"
1044,728,"[388, 268, 254, 272, 251, 4, 302, 259, 462, 7, 289]"
1055,886,"[388, 268, 254, 272, 251, 4, 302, 259, 462, 292, 278]"
1054,866,"[388, 268, 254, 272, 251, 4, 302, 259, 462, 292, 252]"
1048,854,"[388, 268, 254, 272, 251, 4, 302, 259, 462, 292, 217]"
1047,817,"[388, 268, 254, 272, 251, 4, 302, 259, 462, 292, 291]"
1046,770,"[388, 268, 254, 272, 251, 4, 302, 259, 462, 292, 305]"
1043,726,"[388, 268, 254, 272, 251, 4, 302, 259, 462, 292, 289]"
1048,885,"[388, 268, 254, 272, 251, 4, 302, 259, 462, 31, 278]"
1047,865,"[388, 268, 254, 272, 251, 4, 302, 259, 462, 31, 252]"
1041,853,"[388, 268, 254, 272, 251, 4, 302, 259, 462, 31, 217]"
1040,816,"[388, 268, 254, 272, 251, 4, 302, 259, 462, 31, 291]"
1039,769,"[388, 268, 254, 272, 251, 4, 302, 259, 462, 31, 305]"
1036,725,"[388, 268, 254, 272, 251, 4, 302, 259, 462, 31, 289]"
1027,879,"[388, 268, 254, 272, 251, 4, 302, 462, 7, 292, 278]"
