cost,points_total,indexes
1025,1029,"[388, 268, 224, 254, 272, 251, 259, 255, 250, 155, 278]"
1024,1009,"[388, 268, 224, 254, 272, 251, 259, 255, 250, 155, 252]"
1018,997,"[388, 268, 224, 254, 272, 251, 259, 255, 250, 155, 217]"
1017,960,"[388, 268, 224, 254, 272, 251, 259, 255, 250, 155, 291]"
1016,913,"[388, 268, 224, 254, 272, 251, 259, 255, 250, 155, 305]"
1013,869,"[388, 268, 224, 254, 272, 251, 259, 255, 250, 155, 289]"
1024,1010,"[388, 268, 224, 254, 272, 251, 259, 255, 155, 270, 278]"
1023,990,"[388, 268, 224, 254, 272, 251, 259, 255, 155, 270, 252]"
1017,978,"[388, 268, 224, 254, 272, 251, 259, 255, 155, 270, 217]"
1016,941,"[388, 268, 224, 254, 272, 251, 259, 255, 155, 270, 291]"
1015,894,"[388, 268, 224, 254, 272, 251, 259, 255, 155, 270, 305]"
1012,850,"[388, 268, 224, 254, 272, 251, 259, 255, 155, 270, 289]"
1023,947,"[388, 268, 224, 254, 272, 251, 259, 255, 155, 280, 278]"
1022,927,"[388, 268, 224, 254, 272, 251, 259, 255, 155, 280, 252]"
1016,915,"[388, 268, 224, 254, 272, 251, 259, 255, 155, 280, 217]"
1015,878,"[388, 268, 224, 254, 272, 251, 259, 255, 155, 280, 291]"
1014,831,"[388, 268, 224, 254, 272, 251, 259, 255, 155, 280, 305]"
1011,787,"[388, 268, 224, 254, 272, 251, 259, 255, 155, 280, 289]"
1022,872,"[388, 268, 224, 254, 272, 251, 259, 255, 155, 226, 278]"
1021,852,"[388, 268, 224, 254, 272, 251, 259, 255, 155, 226, 252]"
1015,840,"[388, 268, 224, 254, 272, 251, 259, 255, 155, 226, 217]"
1014,803,"[388, 268, 224, 254, 272, 251, 259, 255, 155, 226, 291]"
1013,756,"[388, 268, 224, 254, 272, 251, 259, 255, 155, 226, 305]"
1010,712,"[388, 268, 224, 254, 272, 251, 259, 255, 155, 226, 289]"
1020,839,"[388, 268, 224, 254, 272, 251, 259, 255, 280, 226, 278]"
1019,819,"[388, 268, 224, 254, 272, 251, 259, 255, 280, 226, 252]"
1013,807,"[388, 268, 224, 254, 272, 251, 259, 255, 280, 226, 217]"
1012,770,"[388, 268, 224, 254, 272, 251, 259, 255, 280, 226, 291]"
1011,723,"[388, 268, 224, 254, 272, 251, 259, 255, 280, 226, 305]"
1008,679,"[388, 268, 224, 254, 272, 251, 259, 255, 280, 226, 289]"
1016,813,"[388, 268, 224, 254, 272, 251, 259, 255, 226, 457, 278]"
1015,793,"[388, 268, 224, 254, 272, 251, 259, 255, 226, 457, 252]"
1009,781,"[388, 268, 224, 254, 272, 251, 259, 255, 226, 457, 217]"
1008,744,"[388, 268, 224, 254, 272, 251, 259, 255, 226, 457, 291]"
1007,697,"[388, 268, 224, 254, 272, 251, 259, 255, 226, 457, 305]"
1004,653,"[388, 268, 224, 254, 272, 251, 259, 255, 226, 457, 289]"
1014,745,"[388, 268, 224, 254, 272, 251, 259, 255, 226, 462, 278]"
1013,725,"[388, 268, 224, 254, 272, 251, 259, 255, 226, 462, 252]"
1007,713,"[388, 268, 224, 254, 272, 251, 259, 255, 226, 462, 217]"
1006,676,"[388, 268, 224, 254, 272, 251, 259, 255, 226, 462, 291]"
1005,629,"[388, 268, 224, 254, 272, 251, 259, 255, 226, 462, 305]"
1002,585,"[388, 268, 224, 254, 272, 251, 259, 255, 226, 462, 289]"
1007,741,"[388, 268, 224, 254, 272, 251, 259, 255, 462, 260, 278]"
1006,721,"[388, 268, 224, 254, 272, 251, 259, 255, 462, 260, 252]"
1000,709,"[388, 268, 224, 254, 272, 251, 259, 255, 462, 260, 217]"
999,672,"[388, 268, 224, 254, 272, 251, 259, 255, 462, 260, 291]"
998,625,"[388, 268, 224, 254, 272, 251, 259, 255, 462, 260, 305]"
995,581,"[388, 268, 224, 254, 272, 251, 259, 255, 462, 260, 289]"
1005,729,"[388, 268, 224, 254, 272, 251, 259, 255, 462, 7, 278]"
1004,709,"[388, 268, 224, 254, 272, 251, 259, 255, 462, 7, 252]"
998,697,"[388, 268, 224, 254, 272, 251, 259, 255, 462, 7, 217]"
997,660,"[388, 268, 224, 254, 272, 251, 259, 255, 462, 7, 291]"
996,613,"[388, 268, 224, 254, 272, 251, 259, 255, 462, 7, 305]"
993,569,"[388, 268, 224, 254, 272, 251, 259, 255, 462, 7, 289]"
1004,727,"[388, 268, 224, 254, 272, 251, 259, 255, 462, 292, 278]"
1003,707,"[388, 268, 224, 254, 272, 251, 259, 255, 462, 292, 252]"
997,695,"[388, 268, 224, 254, 272, 251, 259, 255, 462, 292, 217]"
996,658,"[388, 268, 224, 254, 272, 251, 259, 255, 462, 292, 291]"
995,611,"[388, 268, 224, 254, 272, 251, 259, 255, 462, 292, 305]"
992,567,"[388, 268, 224, 254, 272, 251, 259, 255, 462, 292, 289]"
997,726,"[388, 268, 224, 254, 272, 251, 259, 255, 462, 31, 278]"
996,706,"[388, 268, 224, 254, 272, 251, 259, 255, 462, 31, 252]"
990,694,"[388, 268, 224, 254, 272, 251, 259, 255, 462, 31, 217]"
989,657,"[388, 268, 224, 254, 272, 251, 259, 255, 462, 31, 291]"
988,610,"[388, 268, 224, 254, 272, 251, 259, 255, 462, 31, 305]"
985,566,"[388, 268, 224, 254, 272, 251, 259, 255, 462, 31, 289]"
981,720,"[388, 268, 224, 254, 272, 251, 259, 462, 7, 292, 278]"
980,700,"[388, 268, 224, 254, 272, 251, 259, 462, 7, 292, 252]"
974,688,"[388, 268, 224, 254, 272, 251, 259, 462, 7, 292, 217]"
973,651,"[388, 268, 224, 254, 272, 251, 259, 462, 7, 292, 291]"
972,604,"[388, 268, 224, 254, 272, 251, 259, 462, 7, 292, 305]"
969,560,"[388, 268, 224, 254, 272, 251, 259, 462, 7, 292, 289]"
974,719,"[388, 268, 224, 254, 272, 251, 259, 462, 7, 31, 278]"
973,699,"[388, 268, 224, 254, 272, 251, 259, 462, 7, 31, 252]"
967,687,"[388, 268, 224, 254, 272, 251, 259, 462, 7, 31, 217]"
966,650,"[388, 268, 224, 254, 272, 251, 259, 462, 7, 31, 291]"
965,603,"[388, 268, 224, 254, 272, 251, 259, 462, 7, 31, 305]"
962,559,"[388, 268, 224, 254, 272, 251, 259, 462, 7, 31, 289]"
973,717,"[388, 268, 224, 254, 272, 251, 259, 462, 292, 31, 278]"
972,697,"[388, 268, 224, 254, 272, 251, 259, 462, 292, 31, 252]"
966,685,"[388, 268, 224, 254, 272, 251, 259, 462, 292, 31, 217]"
965,648,"[388, 268, 224, 254, 272, 251, 259, 462, 292, 31, 291]"
964,601,"[388, 268, 224, 254, 272, 251, 259, 462, 292, 31, 305]"
961,557,"[388, 268, 224, 254, 272, 251, 259, 462, 292, 31, 289]"
964,716,"[388, 268, 224, 254, 272, 251, 259, 462, 31, 598, 278]"
963,696,"[388, 268, 224, 254, 272, 251, 259, 462, 31, 598, 252]"
957,684,"[388, 268, 224, 254, 272, 251, 259, 462, 31, 598, 217]"
956,647,"[388, 268, 224, 254, 272, 251, 259, 462, 31, 598, 291]"
955,600,"[388, 268, 224, 254, 272, 251, 259, 462, 31, 598, 305]"
952,556,"[388, 268, 224, 254, 272, 251, 259, 462, 31, 598, 289]"
945,710,"[388, 268, 224, 254, 272, 251, 462, 7, 292, 31, 278]"
