cost,points_total,indexes
984,1149,"[388, 268, 254, 272, 251, 259, 255, 250, 155, 270, 278]"
983,1129,"[388, 268, 254, 272, 251, 259, 255, 250, 155, 270, 252]"
977,1117,"[388, 268, 254, 272, 251, 259, 255, 250, 155, 270, 217]"
976,1080,"[388, 268, 254, 272, 251, 259, 255, 250, 155, 270, 291]"
975,1033,"[388, 268, 254, 272, 251, 259, 255, 250, 155, 270, 305]"
972,989,"[388, 268, 254, 272, 251, 259, 255, 250, 155, 270, 289]"
983,1086,"[388, 268, 254, 272, 251, 259, 255, 250, 155, 280, 278]"
982,1066,"[388, 268, 254, 272, 251, 259, 255, 250, 155, 280, 252]"
976,1054,"[388, 268, 254, 272, 251, 259, 255, 250, 155, 280, 217]"
975,1017,"[388, 268, 254, 272, 251, 259, 255, 250, 155, 280, 291]"
974,970,"[388, 268, 254, 272, 251, 259, 255, 250, 155, 280, 305]"
971,926,"[388, 268, 254, 272, 251, 259, 255, 250, 155, 280, 289]"
982,1011,"[388, 268, 254, 272, 251, 259, 255, 250, 155, 226, 278]"
981,991,"[388, 268, 254, 272, 251, 259, 255, 250, 155, 226, 252]"
975,979,"[388, 268, 254, 272, 251, 259, 255, 250, 155, 226, 217]"
974,942,"[388, 268, 254, 272, 251, 259, 255, 250, 155, 226, 291]"
973,895,"[388, 268, 254, 272, 251, 259, 255, 250, 155, 226, 305]"
970,851,"[388, 268, 254, 272, 251, 259, 255, 250, 155, 226, 289]"
981,992,"[388, 268, 254, 272, 251, 259, 255, 155, 270, 226, 278]"
980,972,"[388, 268, 254, 272, 251, 259, 255, 155, 270, 226, 252]"
974,960,"[388, 268, 254, 272, 251, 259, 255, 155, 270, 226, 217]"
973,923,"[388, 268, 254, 272, 251, 259, 255, 155, 270, 226, 291]"
972,876,"[388, 268, 254, 272, 251, 259, 255, 155, 270, 226, 305]"
969,832,"[388, 268, 254, 272, 251, 259, 255, 155, 270, 226, 289]"
980,929,"[388, 268, 254, 272, 251, 259, 255, 155, 280, 226, 278]"
979,909,"[388, 268, 254, 272, 251, 259, 255, 155, 280, 226, 252]"
973,897,"[388, 268, 254, 272, 251, 259, 255, 155, 280, 226, 217]"
972,860,"[388, 268, 254, 272, 251, 259, 255, 155, 280, 226, 291]"
971,813,"[388, 268, 254, 272, 251, 259, 255, 155, 280, 226, 305]"
968,769,"[388, 268, 254, 272, 251, 259, 255, 155, 280, 226, 289]"
976,903,"[388, 268, 254, 272, 251, 259, 255, 155, 226, 457, 278]"
975,883,"[388, 268, 254, 272, 251, 259, 255, 155, 226, 457, 252]"
969,871,"[388, 268, 254, 272, 251, 259, 255, 155, 226, 457, 217]"
968,834,"[388, 268, 254, 272, 251, 259, 255, 155, 226, 457, 291]"
967,787,"[388, 268, 254, 272, 251, 259, 255, 155, 226, 457, 305]"
964,743,"[388, 268, 254, 272, 251, 259, 255, 155, 226, 457, 289]"
974,835,"[388, 268, 254, 272, 251, 259, 255, 155, 226, 462, 278]"
973,815,"[388, 268, 254, 272, 251, 259, 255, 155, 226, 462, 252]"
967,803,"[388, 268, 254, 272, 251, 259, 255, 155, 226, 462, 217]"
966,766,"[388, 268, 254, 272, 251, 259, 255, 155, 226, 462, 291]"
965,719,"[388, 268, 254, 272, 251, 259, 255, 155, 226, 462, 305]"
962,675,"[388, 268, 254, 272, 251, 259, 255, 155, 226, 462, 289]"
972,802,"[388, 268, 254, 272, 251, 259, 255, 280, 226, 462, 278]"
971,782,"[388, 268, 254, 272, 251, 259, 255, 280, 226, 462, 252]"
965,770,"[388, 268, 254, 272, 251, 259, 255, 280, 226, 462, 217]"
964,733,"[388, 268, 254, 272, 251, 259, 255, 280, 226, 462, 291]"
963,686,"[388, 268, 254, 272, 251, 259, 255, 280, 226, 462, 305]"
960,642,"[388, 268, 254, 272, 251, 259, 255, 280, 226, 462, 289]"
968,776,"[388, 268, 254, 272, 251, 259, 255, 226, 457, 462, 278]"
967,756,"[388, 268, 254, 272, 251, 259, 255, 226, 457, 462, 252]"
961,744,"[388, 268, 254, 272, 251, 259, 255, 226, 457, 462, 217]"
960,707,"[388, 268, 254, 272, 251, 259, 255, 226, 457, 462, 291]"
